2019-05-01 14:29:57,176 [main] INFO  marytts.main Mary starting up...
2019-05-01 14:29:57,178 [main] INFO  marytts.main Specification version 5.2
2019-05-01 14:29:57,178 [main] INFO  marytts.main Implementation version unknown
2019-05-01 14:29:57,178 [main] INFO  marytts.main Running on a Java 1.8.0_201 implementation by Oracle Corporation, on a Windows 10 platform (amd64, 10.0)
2019-05-01 14:29:57,268 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.Synthesis'
2019-05-01 14:29:57,271 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TextToMaryXML'
2019-05-01 14:29:57,272 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SableParser'
2019-05-01 14:29:57,272 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SSMLParser'
2019-05-01 14:29:57,273 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.APMLParser'
2019-05-01 14:29:57,273 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.EmotionmlParser'
2019-05-01 14:29:57,274 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JTokeniser'
2019-05-01 14:29:57,274 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.DummyTokens2Words'
2019-05-01 14:29:57,274 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.ProsodyGeneric'
2019-05-01 14:29:57,276 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PronunciationModel'
2019-05-01 14:29:57,277 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TargetFeatureLister'
2019-05-01 14:29:57,278 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HalfPhoneTargetFeatureLister'
2019-05-01 14:29:57,278 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.AcousticModeller'
2019-05-01 14:29:57,279 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedAcoustparamsExtractor'
2019-05-01 14:29:57,279 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedDurationsExtractor'
2019-05-01 14:29:57,279 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HTSEngine'
2019-05-01 14:29:57,280 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PraatTextGridGenerator'
2019-05-01 14:29:57,281 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.JTokeniser'
2019-05-01 14:29:57,281 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Preprocess'
2019-05-01 14:29:57,418 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_US.)'
2019-05-01 14:29:57,419 [main] INFO  marytts.JPhonemiser User dictionary '.\user-dictionaries\userdict-en_US.txt' for locale 'en_US' does not exist. Ignoring.
2019-05-01 14:29:57,467 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_GB.)'
2019-05-01 14:29:57,467 [main] INFO  marytts.JPhonemiser User dictionary '.\user-dictionaries\userdict-en_GB.txt' for locale 'en_GB' does not exist. Ignoring.
2019-05-01 14:29:57,501 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Prosody'
2019-05-01 14:29:57,502 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SimplePhoneme2AP(en_US)'
2019-05-01 14:29:57,502 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.PronunciationModel'
2019-05-01 14:29:57,503 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.OpenNLPPosTagger(en,en.pos)'
2019-05-01 14:29:57,507 [main] INFO  marytts.UnitSelectionSynthesizer started.
2019-05-01 14:29:57,508 [main] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->TARGETFEATURES, locale null).
2019-05-01 14:29:57,508 [main] INFO  marytts.HTSEngine Module started (TARGETFEATURES->AUDIO, locale null).
2019-05-01 14:29:57,527 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2019-05-01 14:29:57,575 [main] INFO  marytts.HMMData Loading GV Model Set:
2019-05-01 14:29:57,675 [main] INFO  marytts.Voice Registering voice `cmu-rms-hsmm': male, locale en_US
2019-05-01 14:29:57,675 [main] INFO  marytts.Voice New default voice for locale en_US: cmu-rms-hsmm (desire 0)
2019-05-01 14:29:57,678 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2019-05-01 14:29:57,707 [main] INFO  marytts.HMMData Loading GV Model Set:
2019-05-01 14:29:57,779 [main] INFO  marytts.Voice Registering voice `cmu-slt-hsmm': female, locale en_US
2019-05-01 14:29:57,781 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2019-05-01 14:29:57,811 [main] INFO  marytts.HMMData Loading GV Model Set:
2019-05-01 14:29:57,872 [main] INFO  marytts.Voice Registering voice `dfki-poppy-hsmm': female, locale en_GB
2019-05-01 14:29:57,872 [main] INFO  marytts.Voice New default voice for locale en_GB: dfki-poppy-hsmm (desire 0)
2019-05-01 14:29:57,872 [main] INFO  marytts.HMMSynthesizer started.
2019-05-01 14:29:57,872 [main] INFO  marytts.Synthesis Module started (ACOUSTPARAMS->AUDIO, locale null).
2019-05-01 14:29:57,873 [main] INFO  marytts.HMMSynthesizer Starting power-on self test.
2019-05-01 14:29:57,874 [main] INFO  marytts.HMMSynthesizer Power-on self test complete.
2019-05-01 14:29:57,875 [main] INFO  marytts.TextToMaryXML Module started (TEXT->RAWMARYXML, locale null).
2019-05-01 14:29:57,875 [main] INFO  marytts.TextToMaryXML Starting power-on self test.
2019-05-01 14:29:57,879 [main] WARN  marytts.TextToMaryXML Locale is null, overriding with en_US
2019-05-01 14:29:57,879 [main] WARN  marytts.TextToMaryXML Locale is null, overriding with en_US
2019-05-01 14:29:57,879 [main] INFO  marytts.TextToMaryXML Power-on self test complete.
